timestamp,open,high,low,close,atr,ema100,micro,direction_5m,htf_bullish,htf_bearish,long_signal,short_signal
2026-05-05 13:30:00+00:00,81410.8,81427.5,81318.8,81354.7,121.76290394202424,80888.93363041036,trend_continuation_down,up,True,False,0,0
2026-05-05 13:31:00+00:00,81354.7,81492.6,81322.1,81486.0,121.76290394202424,80888.93363041036,bullish_pressure,up,True,False,0,0
2026-05-05 13:32:00+00:00,81485.9,81488.6,81385.5,81385.5,121.76290394202424,80888.93363041036,bearish_pressure,up,True,False,0,0
2026-05-05 13:33:00+00:00,81385.6,81480.0,81385.5,81450.7,121.76290394202424,80888.93363041036,bullish_pressure,up,True,False,0,0
2026-05-05 13:34:00+00:00,81450.6,81468.3,81395.1,81429.2,121.76290394202424,80888.93363041036,inside_bar,up,True,False,0,0
2026-05-05 13:35:00+00:00,81429.2,81429.2,81346.9,81418.0,123.60126794616535,80896.96662782799,indecision,up,True,False,0,0
2026-05-05 13:36:00+00:00,81418.0,81442.1,81405.9,81412.8,123.60126794616535,80896.96662782799,indecision,up,True,False,0,0
2026-05-05 13:37:00+00:00,81412.9,81419.9,81346.1,81379.0,123.60126794616535,80896.96662782799,bearish_pressure,up,True,False,0,0
2026-05-05 13:38:00+00:00,81379.0,81400.9,81340.0,81341.3,123.60126794616535,80896.96662782799,bearish_pressure,up,True,False,0,0
2026-05-05 13:39:00+00:00,81341.3,81401.4,81294.6,81294.6,123.60126794616535,80896.96662782799,trend_continuation_down,up,True,False,0,0
2026-05-05 13:40:00+00:00,81294.6,81294.7,81151.1,81220.1,132.99403452143864,80906.19303123734,exhaustion_down,up,True,False,1,0
2026-05-05 13:49:00+00:00,81563.6,81585.4,81529.3,81580.1,139.87303205562077,80919.53772368809,trend_continuation_up,up,True,False,0,0
2026-05-05 13:50:00+00:00,81580.0,81613.5,81520.6,81525.3,150.46067262307685,80927.57460044674,bearish_pressure,up,True,False,0,0
2026-05-05 13:51:00+00:00,81525.4,81550.6,81474.8,81532.4,150.46067262307685,80927.57460044674,indecision,up,True,False,0,0
2026-05-05 13:52:00+00:00,81532.3,81555.0,81515.2,81521.9,150.46067262307685,80927.57460044674,inside_bearish_weak,up,True,False,0,0
